no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,total_assets,loan_income_ratio,asset_coverage_ratio,income_per_dependent,wealth_cibil_score,loan_status
2,1,0,2600000,7800000,4,819,14600000.0,3.0,1.8717948717948718,866666.6666666666,11957400000.0,1
4,1,1,9600000,21100000,6,809,69000000.0,2.1979166666666665,3.2701421800947865,1920000.0,55821000000.0,1
1,0,1,6800000,17000000,2,744,46600000.0,2.5,2.7411764705882353,3400000.0,34670400000.0,1
0,0,0,3200000,11300000,6,484,19600000.0,3.53125,1.7345132743362832,3200000.0,9486400000.0,0
4,0,0,2900000,10400000,6,673,19100000.0,3.586206896551724,1.8365384615384615,580000.0,12854300000.0,1
3,1,1,7900000,21200000,18,695,51100000.0,2.6835443037974684,2.410377358490566,1975000.0,35514500000.0,1
4,0,1,3900000,12400000,12,473,28000000.0,3.1794871794871793,2.2580645161290325,780000.0,13244000000.0,0
4,1,1,4600000,11000000,2,491,32600000.0,2.391304347826087,2.963636363636364,920000.0,16006600000.0,0
3,0,1,700000,1700000,8,733,4900000.0,2.4285714285714284,2.8823529411764706,175000.0,3591700000.0,1
0,0,0,5200000,15600000,20,434,43500000.0,3.0,2.7884615384615383,5200000.0,18879000000.0,0
3,0,1,5900000,20600000,10,777,34100000.0,3.4915254237288136,1.6553398058252426,1475000.0,26495700000.0,1
4,1,0,7200000,19100000,4,774,37900000.0,2.6527777777777777,1.9842931937172774,1440000.0,29334600000.0,1
1,0,1,8700000,27000000,10,717,60700000.0,3.103448275862069,2.248148148148148,4350000.0,43521900000.0,1
3,0,1,1100000,3500000,12,503,6800000.0,3.1818181818181817,1.9428571428571428,275000.0,3420400000.0,0
1,1,1,4000000,10900000,14,598,28200000.0,2.725,2.5871559633027523,2000000.0,16863600000.0,1
2,1,0,9800000,32400000,2,543,75100000.0,3.306122448979592,2.317901234567901,3266666.6666666665,40779300000.0,1
0,0,1,2700000,6800000,20,796,13800000.0,2.5185185185185186,2.0294117647058822,2700000.0,10984800000.0,1
3,0,1,8800000,34600000,8,386,55700000.0,3.9318181818181817,1.6098265895953756,2200000.0,21500200000.0,0
5,0,1,3300000,7800000,16,632,21000000.0,2.3636363636363638,2.6923076923076925,550000.0,13272000000.0,1
1,1,1,6900000,23400000,4,481,53400000.0,3.391304347826087,2.282051282051282,3450000.0,25685400000.0,1
3,1,1,900000,3500000,4,770,3300000.0,3.888888888888889,0.9428571428571428,225000.0,2541000000.0,0
3,1,1,4100000,15500000,6,667,23100000.0,3.7804878048780486,1.4903225806451612,1025000.0,15407700000.0,1
3,0,1,4700000,17500000,8,585,18800000.0,3.723404255319149,1.0742857142857143,1175000.0,10998000000.0,1
5,1,1,3400000,11600000,16,479,28500000.0,3.411764705882353,2.456896551724138,566666.6666666666,13651500000.0,0
2,1,0,9600000,22500000,18,851,60600000.0,2.34375,2.6933333333333334,3200000.0,51570600000.0,1
3,0,1,7000000,16200000,6,378,58400000.0,2.3142857142857145,3.6049382716049383,1750000.0,22075200000.0,0
5,1,0,5700000,12900000,18,807,29100000.0,2.263157894736842,2.255813953488372,950000.0,23483700000.0,1
1,0,1,8200000,32400000,18,831,60600000.0,3.951219512195122,1.8703703703703705,4100000.0,50358600000.0,1
2,0,0,2100000,5100000,12,674,14200000.0,2.4285714285714284,2.784313725490196,700000.0,9570800000.0,1
1,0,1,8000000,28100000,18,725,45200000.0,3.5125,1.6085409252669038,4000000.0,32770000000.0,1
2,0,0,8000000,29300000,4,600,65600000.0,3.6625,2.2389078498293515,2666666.6666666665,39360000000.0,1
0,0,1,9400000,27000000,10,536,44700000.0,2.872340425531915,1.6555555555555554,9400000.0,23959200000.0,0
0,1,0,8400000,20600000,10,477,39900000.0,2.4523809523809526,1.9368932038834952,8400000.0,19032300000.0,0
1,0,1,1900000,5000000,6,560,10600000.0,2.6315789473684212,2.12,950000.0,5936000000.0,1
