no_of_dependents,education,self_employed,income_annum,loan_term,cibil_score,total_assets,income_per_dependent,asset_coverage_ratio,wealth_cibil_score,loan_amount
0,0,0,600000,6,647,4300000.0,600000.0,2.6875,2782100000.0,1600000
0,0,0,7200000,12,379,50000000.0,7200000.0,3.1645569620253164,18950000000.0,15800000
1,0,1,9100000,2,717,33700000.0,4550000.0,1.0243161094224924,24162900000.0,32900000
5,1,0,900000,16,545,3800000.0,150000.0,1.6521739130434783,2071000000.0,2300000
2,1,0,800000,8,317,4200000.0,266666.6666666667,1.3125,1331400000.0,3200000
1,0,0,8500000,10,570,37300000.0,4250000.0,1.1337386018237081,21261000000.0,32900000
0,0,1,9000000,18,865,59000000.0,9000000.0,3.1550802139037435,51035000000.0,18700000
3,1,0,7000000,14,719,50900000.0,1750000.0,2.6102564102564103,36597100000.0,19500000
3,1,0,200000,16,821,1100000.0,50000.0,1.8333333333333333,903100000.0,600000
4,0,1,400000,10,859,2400000.0,80000.0,3.0,2061600000.0,800000
3,0,0,5100000,10,395,29900000.0,1275000.0,1.6428571428571428,11810500000.0,18200000
2,0,1,700000,12,429,6400000.0,233333.33333333334,2.4615384615384617,2745600000.0,2600000
3,1,0,400000,12,861,2100000.0,100000.0,1.75,1808100000.0,1200000
0,0,1,9500000,14,565,74300000.0,9500000.0,3.5721153846153846,41979500000.0,20800000
5,1,0,8800000,10,357,39600000.0,1466666.6666666667,1.752212389380531,14137200000.0,22600000
3,0,1,1800000,18,465,9100000.0,450000.0,2.5277777777777777,4231500000.0,3600000
4,0,1,6800000,8,479,56100000.0,1360000.0,4.0359712230215825,26871900000.0,13900000
3,0,0,1500000,16,717,8600000.0,375000.0,1.5636363636363637,6166200000.0,5500000
3,1,0,1600000,12,425,7700000.0,400000.0,1.4,3272500000.0,5500000
2,0,0,4600000,2,786,26100000.0,1533333.3333333333,1.562874251497006,20514600000.0,16700000
5,0,1,2200000,6,382,15400000.0,366666.6666666667,2.298507462686567,5882800000.0,6700000
3,0,1,2900000,12,564,13400000.0,725000.0,1.576470588235294,7557600000.0,8500000
0,1,0,200000,8,501,1500000.0,200000.0,2.142857142857143,751500000.0,700000
2,0,1,2500000,10,727,23500000.0,833333.3333333334,2.5,17084500000.0,9400000
4,0,0,3600000,6,894,17800000.0,720000.0,2.3733333333333335,15913200000.0,7500000
0,1,1,5500000,18,829,25500000.0,5500000.0,1.526946107784431,21139500000.0,16700000
4,0,0,6600000,20,506,45700000.0,1320000.0,2.6264367816091956,23124200000.0,17400000
2,1,1,8600000,6,802,60400000.0,2866666.6666666665,1.881619937694704,48440800000.0,32100000
5,0,0,600000,14,543,3600000.0,100000.0,2.4,1954800000.0,1500000
3,1,1,1400000,20,772,10000000.0,350000.0,3.125,7720000000.0,3200000
3,1,0,4000000,12,572,24700000.0,1000000.0,2.225225225225225,14128400000.0,11100000
0,0,1,4900000,16,709,37800000.0,4900000.0,3.176470588235294,26800200000.0,11900000
5,1,0,2000000,18,402,14400000.0,333333.3333333333,2.3225806451612905,5788800000.0,6200000
1,0,1,5200000,8,481,46800000.0,2600000.0,2.4248704663212437,22510800000.0,19300000
5,1,1,8900000,6,772,47900000.0,1483333.3333333333,1.6631944444444444,36978800000.0,28800000
1,1,1,6500000,2,306,39100000.0,3250000.0,1.8980582524271845,11964600000.0,20600000
2,0,0,1300000,6,415,5000000.0,433333.3333333333,1.1111111111111112,2075000000.0,4500000
3,0,0,9400000,16,548,63500000.0,2350000.0,1.8142857142857143,34798000000.0,35000000
5,0,0,5000000,8,701,28200000.0,833333.3333333334,2.517857142857143,19768200000.0,11200000
2,1,0,3000000,12,890,19500000.0,1000000.0,2.5324675324675323,17355000000.0,7700000
5,0,1,9900000,6,364,60100000.0,1650000.0,1.8048048048048049,21876400000.0,33300000
5,1,1,700000,20,704,4400000.0,116666.66666666667,3.3846153846153846,3097600000.0,1300000
3,1,1,4000000,10,318,19500000.0,1000000.0,1.8396226415094339,6201000000.0,10600000
5,0,0,3100000,2,761,22200000.0,516666.6666666667,2.3125,16894200000.0,9600000
4,0,0,4500000,6,693,29000000.0,900000.0,1.9205298013245033,20097000000.0,15100000
3,0,0,9700000,16,524,68800000.0,2425000.0,3.3398058252427183,36051200000.0,20600000
2,0,1,2000000,10,681,13500000.0,666666.6666666666,2.547169811320755,9193500000.0,5300000
2,1,1,8100000,18,737,69200000.0,2700000.0,3.103139013452915,51000400000.0,22300000
0,0,0,5700000,16,638,30400000.0,5700000.0,1.9119496855345912,19395200000.0,15900000
4,0,0,5800000,2,656,24300000.0,1160000.0,1.8984375,15940800000.0,12800000
1,1,0,1800000,6,540,11800000.0,900000.0,1.8153846153846154,6372000000.0,6500000
4,0,1,9100000,6,341,32600000.0,1820000.0,0.9261363636363636,11116600000.0,35200000
0,0,1,4800000,2,371,40700000.0,4800000.0,2.3257142857142856,15099700000.0,17500000
3,0,1,3800000,12,886,21700000.0,950000.0,2.066666666666667,19226200000.0,10500000
0,0,0,1900000,18,801,7200000.0,1900000.0,1.7560975609756098,5767200000.0,4100000
3,0,1,3600000,16,748,22400000.0,900000.0,2.357894736842105,16755200000.0,9500000
2,0,1,7400000,8,376,49500000.0,2466666.6666666665,1.7553191489361701,18612000000.0,28200000
4,0,1,6600000,8,371,46200000.0,1320000.0,3.230769230769231,17140200000.0,14300000
2,1,0,1800000,6,826,13000000.0,600000.0,2.452830188679245,10738000000.0,5300000
4,0,0,9200000,12,873,51500000.0,1840000.0,1.8933823529411764,44959500000.0,27200000
5,0,1,2400000,8,309,9600000.0,400000.0,1.1162790697674418,2966400000.0,8600000
4,0,0,5600000,20,869,37300000.0,1120000.0,2.8045112781954886,32413700000.0,13300000
5,1,0,3800000,12,534,18600000.0,633333.3333333334,1.3381294964028776,9932400000.0,13900000
3,0,1,4500000,6,787,31900000.0,1125000.0,1.782122905027933,25105300000.0,17900000
0,1,1,900000,16,566,3400000.0,900000.0,1.5454545454545454,1924400000.0,2200000
0,0,0,2800000,8,742,14600000.0,2800000.0,1.4747474747474747,10833200000.0,9900000
2,0,0,7500000,4,824,58800000.0,2500000.0,2.5454545454545454,48451200000.0,23100000
4,1,0,1400000,14,575,11400000.0,280000.0,3.6774193548387095,6555000000.0,3100000
2,1,1,3800000,10,766,17400000.0,1266666.6666666667,1.5963302752293578,13328400000.0,10900000
1,0,1,1700000,10,888,10100000.0,850000.0,2.02,8968800000.0,5000000
3,1,1,9000000,6,638,63900000.0,2250000.0,2.101973684210526,40768200000.0,30400000
5,0,1,7300000,6,622,55600000.0,1216666.6666666667,2.3862660944206007,34583200000.0,23300000
1,0,0,7400000,18,458,50500000.0,3700000.0,2.5505050505050506,23129000000.0,19800000
1,0,0,9000000,16,327,39200000.0,4500000.0,1.3900709219858156,12818400000.0,28200000
0,0,0,3000000,2,612,20600000.0,3000000.0,3.169230769230769,12607200000.0,6500000
1,1,0,800000,8,682,6900000.0,400000.0,2.3793103448275863,4705800000.0,2900000
2,1,0,4800000,2,583,34200000.0,1600000.0,2.590909090909091,19938600000.0,13200000
5,0,0,6400000,8,697,39700000.0,1066666.6666666667,2.169398907103825,27670900000.0,18300000
3,1,0,9200000,12,306,54900000.0,2300000.0,2.025830258302583,16799400000.0,27100000
4,0,1,400000,2,669,7700000.0,80000.0,5.133333333333334,5151300000.0,1500000
2,0,0,2800000,18,816,21900000.0,933333.3333333334,3.65,17870400000.0,6000000
4,0,1,8500000,20,455,52900000.0,1700000.0,1.8304498269896194,24069500000.0,28900000
3,1,1,4700000,10,318,40000000.0,1175000.0,2.4390243902439024,12720000000.0,16400000
4,0,1,9800000,20,355,77100000.0,1960000.0,3.6367924528301887,27370500000.0,21200000
2,0,1,3800000,16,389,20200000.0,1266666.6666666667,2.269662921348315,7857800000.0,8900000
2,1,0,500000,2,888,3900000.0,166666.66666666666,2.6,3463200000.0,1500000
2,1,1,6900000,6,352,50900000.0,2300000.0,3.2628205128205128,17916800000.0,15600000
4,0,1,9600000,12,870,50800000.0,1920000.0,1.6877076411960132,44196000000.0,30100000
3,0,0,2900000,18,827,22500000.0,725000.0,3.4615384615384617,18607500000.0,6500000
2,1,0,9800000,12,768,65600000.0,3266666.6666666665,3.138755980861244,50380800000.0,20900000
0,1,0,7100000,18,707,46500000.0,7100000.0,3.0194805194805197,32875500000.0,15400000
1,0,1,7700000,10,355,44700000.0,3850000.0,2.3403141361256545,15868500000.0,19100000
3,1,0,1400000,2,652,7600000.0,350000.0,2.303030303030303,4955200000.0,3300000
3,1,0,7800000,2,665,47900000.0,1950000.0,3.0125786163522013,31853500000.0,15900000
5,0,1,1700000,18,420,8100000.0,283333.3333333333,1.35,3402000000.0,6000000
2,0,0,8500000,18,471,68400000.0,2833333.3333333335,2.091743119266055,32216400000.0,32700000
5,0,0,1900000,20,715,17200000.0,316666.6666666667,2.2933333333333334,12298000000.0,7500000
2,0,1,6700000,10,689,30000000.0,2233333.3333333335,1.9736842105263157,20670000000.0,15200000
3,1,1,6900000,4,787,47400000.0,1725000.0,2.8902439024390243,37303800000.0,16400000
2,1,0,2600000,4,819,14600000.0,866666.6666666666,1.8717948717948718,11957400000.0,7800000
4,1,1,9600000,6,809,69000000.0,1920000.0,3.2701421800947865,55821000000.0,21100000
1,0,1,6800000,2,744,46600000.0,3400000.0,2.7411764705882353,34670400000.0,17000000
0,0,0,3200000,6,484,19600000.0,3200000.0,1.7345132743362832,9486400000.0,11300000
4,0,0,2900000,6,673,19100000.0,580000.0,1.8365384615384615,12854300000.0,10400000
3,1,1,7900000,18,695,51100000.0,1975000.0,2.410377358490566,35514500000.0,21200000
4,0,1,3900000,12,473,28000000.0,780000.0,2.2580645161290325,13244000000.0,12400000
4,1,1,4600000,2,491,32600000.0,920000.0,2.963636363636364,16006600000.0,11000000
3,0,1,700000,8,733,4900000.0,175000.0,2.8823529411764706,3591700000.0,1700000
0,0,0,5200000,20,434,43500000.0,5200000.0,2.7884615384615383,18879000000.0,15600000
3,0,1,5900000,10,777,34100000.0,1475000.0,1.6553398058252426,26495700000.0,20600000
4,1,0,7200000,4,774,37900000.0,1440000.0,1.9842931937172774,29334600000.0,19100000
1,0,1,8700000,10,717,60700000.0,4350000.0,2.248148148148148,43521900000.0,27000000
3,0,1,1100000,12,503,6800000.0,275000.0,1.9428571428571428,3420400000.0,3500000
1,1,1,4000000,14,598,28200000.0,2000000.0,2.5871559633027523,16863600000.0,10900000
2,1,0,9800000,2,543,75100000.0,3266666.6666666665,2.317901234567901,40779300000.0,32400000
0,0,1,2700000,20,796,13800000.0,2700000.0,2.0294117647058822,10984800000.0,6800000
3,0,1,8800000,8,386,55700000.0,2200000.0,1.6098265895953756,21500200000.0,34600000
5,0,1,3300000,16,632,21000000.0,550000.0,2.6923076923076925,13272000000.0,7800000
1,1,1,6900000,4,481,53400000.0,3450000.0,2.282051282051282,25685400000.0,23400000
3,1,1,900000,4,770,3300000.0,225000.0,0.9428571428571428,2541000000.0,3500000
3,1,1,4100000,6,667,23100000.0,1025000.0,1.4903225806451612,15407700000.0,15500000
3,0,1,4700000,8,585,18800000.0,1175000.0,1.0742857142857143,10998000000.0,17500000
5,1,1,3400000,16,479,28500000.0,566666.6666666666,2.456896551724138,13651500000.0,11600000
2,1,0,9600000,18,851,60600000.0,3200000.0,2.6933333333333334,51570600000.0,22500000
3,0,1,7000000,6,378,58400000.0,1750000.0,3.6049382716049383,22075200000.0,16200000
5,1,0,5700000,18,807,29100000.0,950000.0,2.255813953488372,23483700000.0,12900000
1,0,1,8200000,18,831,60600000.0,4100000.0,1.8703703703703705,50358600000.0,32400000
2,0,0,2100000,12,674,14200000.0,700000.0,2.784313725490196,9570800000.0,5100000
1,0,1,8000000,18,725,45200000.0,4000000.0,1.6085409252669038,32770000000.0,28100000
2,0,0,8000000,4,600,65600000.0,2666666.6666666665,2.2389078498293515,39360000000.0,29300000
0,0,1,9400000,10,536,44700000.0,9400000.0,1.6555555555555554,23959200000.0,27000000
0,1,0,8400000,10,477,39900000.0,8400000.0,1.9368932038834952,19032300000.0,20600000
1,0,1,1900000,6,560,10600000.0,950000.0,2.12,5936000000.0,5000000
0,0,1,4200000,20,539,26100000.0,4200000.0,1.5914634146341464,14067900000.0,16400000
5,1,0,2600000,8,852,18000000.0,433333.3333333333,1.978021978021978,15336000000.0,9100000
3,0,0,3700000,20,853,26400000.0,925000.0,3.1058823529411765,22519200000.0,8500000
0,1,0,8800000,12,729,39500000.0,8800000.0,1.27831715210356,28795500000.0,30900000
2,0,0,2100000,2,546,16400000.0,700000.0,3.4893617021276597,8954400000.0,4700000
3,1,1,900000,10,489,4100000.0,225000.0,1.7083333333333333,2004900000.0,2400000
3,1,1,9800000,6,869,63900000.0,2450000.0,1.805084745762712,55529100000.0,35400000
2,0,0,8000000,2,502,47800000.0,2666666.6666666665,2.39,23995600000.0,20000000
0,1,0,9800000,8,652,77300000.0,9800000.0,1.9922680412371134,50399600000.0,38800000
0,0,1,300000,8,789,1700000.0,300000.0,1.5454545454545454,1341300000.0,1100000
4,0,0,2700000,4,325,19100000.0,540000.0,2.3580246913580245,6207500000.0,8100000
3,1,1,7400000,2,716,46300000.0,1850000.0,2.3622448979591835,33150800000.0,19600000
3,1,0,9200000,18,523,67500000.0,2300000.0,1.967930029154519,35302500000.0,34300000
5,0,0,9500000,20,352,62300000.0,1583333.3333333333,2.8063063063063063,21929600000.0,22200000
5,1,1,3800000,2,345,21800000.0,633333.3333333334,1.5138888888888888,7521000000.0,14400000
0,1,0,8300000,18,649,54200000.0,8300000.0,2.7938144329896906,35175800000.0,19400000
2,1,1,2800000,18,666,12100000.0,933333.3333333334,1.635135135135135,8058600000.0,7400000
0,1,0,8600000,10,813,54000000.0,8600000.0,2.583732057416268,43902000000.0,20900000
0,0,0,5400000,10,599,34800000.0,5400000.0,2.0714285714285716,20845200000.0,16800000
5,1,1,4200000,6,678,25800000.0,700000.0,2.74468085106383,17492400000.0,9400000
5,0,0,5200000,20,513,37600000.0,866666.6666666666,3.081967213114754,19288800000.0,12200000
5,1,0,9400000,4,870,41200000.0,1566666.6666666667,1.4767025089605734,35844000000.0,27900000
3,1,0,8800000,8,483,54600000.0,2200000.0,2.676470588235294,26371800000.0,20400000
1,1,1,5900000,16,308,39000000.0,2950000.0,2.3353293413173652,12012000000.0,16700000
3,1,1,1700000,16,591,11400000.0,425000.0,2.326530612244898,6737400000.0,4900000
1,0,0,7000000,10,886,48000000.0,3500000.0,2.0869565217391304,42528000000.0,23000000
4,0,0,1700000,6,829,8500000.0,340000.0,2.125,7046500000.0,4000000
0,0,0,1500000,12,651,9800000.0,1500000.0,2.0,6379800000.0,4900000
4,0,0,2000000,18,733,17200000.0,400000.0,3.6595744680851063,12607600000.0,4700000
5,1,1,3900000,12,433,27400000.0,650000.0,1.767741935483871,11864200000.0,15500000
1,1,1,900000,14,713,5300000.0,450000.0,1.4722222222222223,3778900000.0,3600000
1,1,0,6900000,18,403,32400000.0,3450000.0,1.44,13057200000.0,22500000
0,1,1,2800000,10,405,20800000.0,2800000.0,2.6666666666666665,8424000000.0,7800000
3,1,1,6800000,10,516,56500000.0,1700000.0,2.8391959798994977,29154000000.0,19900000
4,0,1,600000,8,417,5000000.0,120000.0,2.7777777777777777,2085000000.0,1800000
1,0,0,4700000,6,468,28300000.0,2350000.0,2.0214285714285714,13244400000.0,14000000
5,1,1,3000000,10,672,26200000.0,500000.0,2.2203389830508473,17606400000.0,11800000
5,0,0,4000000,6,530,30100000.0,666666.6666666666,2.1654676258992804,15953000000.0,13900000
1,0,1,3100000,14,824,25100000.0,1550000.0,2.2212389380530975,20682400000.0,11300000
1,0,1,7700000,12,549,56200000.0,3850000.0,2.203921568627451,30853800000.0,25500000
5,0,1,4300000,10,450,22900000.0,716666.6666666666,2.4623655913978495,10305000000.0,9300000
1,1,1,5800000,20,431,37700000.0,2900000.0,1.9333333333333333,16248700000.0,19500000
3,1,1,3600000,16,312,22200000.0,900000.0,2.074766355140187,6926400000.0,10700000
0,0,1,2900000,8,320,26300000.0,2900000.0,3.460526315789474,8416000000.0,7600000
0,1,0,8800000,4,433,63100000.0,8800000.0,3.123762376237624,27322300000.0,20200000
1,0,1,300000,10,431,1900000.0,150000.0,1.9,818900000.0,1000000
5,0,1,8600000,8,516,48700000.0,1433333.3333333333,1.685121107266436,25129200000.0,28900000
2,0,1,3500000,14,476,23200000.0,1166666.6666666667,1.9333333333333333,11043200000.0,12000000
5,1,0,800000,6,560,4300000.0,133333.33333333334,1.6538461538461537,2408000000.0,2600000
2,1,0,8000000,12,674,46500000.0,2666666.6666666665,1.7158671586715868,31341000000.0,27100000
0,0,1,9900000,6,573,53200000.0,9900000.0,1.3926701570680629,30483600000.0,38200000
2,0,0,3300000,6,331,19900000.0,1100000.0,3.015151515151515,6586900000.0,6600000
4,1,1,2000000,12,633,7700000.0,400000.0,1.1492537313432836,4874100000.0,6700000
3,0,0,4900000,18,877,30000000.0,1225000.0,2.3255813953488373,26310000000.0,12900000
